SaleID,Date,Hour,ProductKey,CustomerKey,StaffKey,Quantity,UnitPrice,Discount,LineTotal,PrescriptionRequired,RefusedNoPrescription
1,2024-01-01,15,13,500,2,1,16.3,0.0,16.3,0,0
1,2024-01-01,15,38,500,2,1,27.4,0.0,27.4,1,0
1,2024-01-01,15,41,500,2,1,52.0,2.6,49.4,0,0
2,2024-01-01,8,13,288,3,3,16.3,0.0,48.9,0,0
3,2024-01-01,10,15,362,3,1,96.0,4.8,91.2,1,0
3,2024-01-01,10,34,362,3,1,11.2,0.0,11.2,0,0
4,2024-01-01,9,1,166,1,1,9.5,0.0,9.5,0,0
5,2024-01-01,16,3,333,1,1,8.4,0.0,8.4,0,0
5,2024-01-01,16,40,333,1,1,35.2,0.0,35.2,1,0
6,2024-01-01,15,28,547,3,2,42.5,0.0,85.0,0,0
7,2024-01-01,12,11,301,4,1,19.5,0.0,19.5,0,0
7,2024-01-01,12,8,301,4,1,13.4,0.0,13.4,0,0
8,2024-01-01,10,4,20,1,3,27.0,0.0,81.0,1,0
8,2024-01-01,10,19,20,1,1,21.2,0.0,21.2,1,0
8,2024-01-01,10,12,20,1,1,10.9,0.0,10.9,0,0
9,2024-01-01,8,24,259,1,1,22.5,1.12,21.38,0,0
10,2024-01-01,12,11,136,1,2,19.5,0.0,39.0,0,0
11,2024-01-01,18,27,348,2,1,26.7,0.0,26.7,0,0
11,2024-01-01,18,10,348,2,1,42.0,2.1,39.9,1,0
12,2024-01-01,11,22,232,2,1,49.0,0.0,49.0,0,0
12,2024-01-01,11,10,232,2,1,42.0,2.1,39.9,1,0
13,2024-01-01,17,18,753,3,1,23.4,0.0,23.4,1,0
14,2024-01-01,10,13,762,2,2,16.3,0.0,32.6,0,0
15,2024-01-01,18,38,436,5,1,27.4,0.0,27.4,1,0
15,2024-01-01,18,39,436,5,1,16.8,0.0,16.8,1,0
15,2024-01-01,18,16,436,5,1,68.0,0.0,68.0,0,0
16,2024-01-01,12,24,191,1,1,22.5,0.0,22.5,0,0
16,2024-01-01,12,13,191,1,2,16.3,0.0,32.6,0,0
16,2024-01-01,12,26,191,1,1,56.0,0.0,56.0,0,0
17,2024-01-01,19,24,221,2,1,22.5,0.0,22.5,0,0
18,2024-01-01,11,12,11,3,1,10.9,0.0,10.9,0,0
18,2024-01-01,11,10,11,3,1,42.0,0.0,42.0,1,0
18,2024-01-01,11,18,11,3,1,23.4,0.0,23.4,1,0
18,2024-01-01,11,13,11,3,2,16.3,0.0,32.6,0,0
19,2024-01-01,12,40,288,1,1,35.2,1.76,33.44,1,0
19,2024-01-01,12,3,288,1,2,8.4,0.0,16.8,0,0
20,2024-01-01,11,7,668,4,1,14.2,0.0,14.2,0,0
