CustomerKey,AgeGroup,Gender,City,LoyaltyMember
1,60-74,F,Baciu,0
2,45-59,F,Other,0
3,60-74,M,Cluj-Napoca,0
4,60-74,M,Floresti,0
5,18-29,F,Cluj-Napoca,1
6,75+,F,Other,0
7,60-74,M,Cluj-Napoca,1
8,60-74,M,Cluj-Napoca,1
9,18-29,F,Baciu,0
10,45-59,F,Cluj-Napoca,1
11,30-44,M,Apahida,0
12,75+,M,Cluj-Napoca,0
13,45-59,M,Other,0
14,60-74,F,Baciu,0
15,45-59,F,Cluj-Napoca,0
16,30-44,M,Floresti,0
17,45-59,M,Cluj-Napoca,1
18,18-29,M,Cluj-Napoca,1
19,60-74,F,Floresti,0
20,45-59,F,Apahida,0
21,60-74,M,Cluj-Napoca,1
22,30-44,F,Cluj-Napoca,0
23,75+,M,Floresti,0
24,75+,F,Cluj-Napoca,0
25,60-74,M,Cluj-Napoca,0
26,30-44,M,Cluj-Napoca,0
27,45-59,F,Cluj-Napoca,0
28,18-29,F,Apahida,0
29,18-29,M,Cluj-Napoca,1
30,60-74,M,Cluj-Napoca,0
31,60-74,F,Other,1
32,75+,M,Cluj-Napoca,0
33,30-44,M,Floresti,1
34,30-44,F,Cluj-Napoca,1
35,45-59,F,Apahida,1
36,30-44,F,Floresti,0
37,18-29,F,Baciu,1
38,45-59,F,Cluj-Napoca,1
39,30-44,F,Cluj-Napoca,0
40,60-74,M,Floresti,0
41,45-59,F,Cluj-Napoca,0
42,60-74,M,Cluj-Napoca,0
43,60-74,F,Cluj-Napoca,0
44,30-44,F,Other,1
45,60-74,M,Floresti,1
46,60-74,M,Floresti,0
47,30-44,F,Floresti,1
48,30-44,F,Cluj-Napoca,0
49,60-74,F,Cluj-Napoca,0
50,18-29,F,Cluj-Napoca,0
51,30-44,F,Floresti,0
52,18-29,F,Cluj-Napoca,0
53,60-74,F,Baciu,0
54,60-74,F,Apahida,0
55,60-74,M,Cluj-Napoca,1
56,60-74,M,Cluj-Napoca,1
57,45-59,F,Cluj-Napoca,0
58,45-59,F,Other,1
59,18-29,F,Baciu,0
60,18-29,F,Baciu,1
61,60-74,M,Cluj-Napoca,0
62,45-59,M,Cluj-Napoca,0
63,45-59,M,Cluj-Napoca,0
64,60-74,M,Cluj-Napoca,0
65,45-59,M,Cluj-Napoca,1
66,45-59,M,Cluj-Napoca,0
67,45-59,F,Other,1
68,30-44,F,Cluj-Napoca,0
69,18-29,F,Cluj-Napoca,0
70,45-59,F,Apahida,0
71,30-44,F,Cluj-Napoca,0
72,30-44,M,Floresti,0
73,60-74,M,Floresti,1
74,30-44,F,Baciu,0
75,18-29,F,Floresti,0
76,30-44,F,Cluj-Napoca,0
77,30-44,F,Floresti,0
78,60-74,M,Cluj-Napoca,1
79,45-59,M,Cluj-Napoca,1
80,60-74,M,Cluj-Napoca,1
